agent_id,count_last,best_reward,reward_last_average,solved_on,reward_target,gravity,masscart,masspole,force_mag
57e1b3dc-d93f-4579-b03d-0222a7502a8c,20,500.0,202.8,1031,200.0,9.8,1.0,0.1,10.0
fc8f9317-f9a4-46b3-9f47-111ab2ac11b5,20,500.0,150.9,20000,200.0,9.8,1.0,0.1,8.0
11df7502-b3d3-4aea-ac32-992b9c43c5f3,20,457.0,203.9,831,200.0,9.8,1.0,0.1,12.0
20cee0b4-a88c-465f-bb74-6581b4d96dcb,20,500.0,201.85,1067,200.0,9.8,1.0,0.1,6.0
4ef9aa89-bd3b-45b5-81c5-cb65afea01f8,20,264.0,132.65,20000,200.0,9.8,1.0,0.1,14.0
8d5aae68-0b4c-49c3-a111-7d86ad43e289,20,500.0,97.5,20000,200.0,9.8,1.0,0.1,16.0
97ef2887-ffdf-46a8-9913-b79b8df26e39,20,500.0,156.8,20000,200.0,9.8,1.0,0.07,10.0
c8a81fca-cd0f-49c3-86f6-76f2e1e0fe09,20,500.0,204.05,516,200.0,9.8,1.0,0.07,8.0
36e2ef5c-2873-4573-87ac-9149020b54e5,20,287.0,166.45,20000,200.0,9.8,1.0,0.07,12.0
388d3649-4417-4eb2-a48f-0d7e5e3215a4,20,500.0,200.1,577,200.0,9.8,1.0,0.07,6.0
d4eb23b8-0b0b-4d32-b758-f819cf4eb296,20,500.0,208.6,507,200.0,9.8,1.0,0.07,14.0
1a88483d-d2e9-4169-88b5-a13400f632da,20,308.0,159.2,20000,200.0,9.8,1.0,0.07,16.0
d9d7c341-a3d5-42eb-8f98-2e16a534f711,20,500.0,200.35,10299,200.0,9.8,1.0,0.15000000000000002,10.0
f9f68c1c-54f8-4f01-a2b0-852b7b5d8668,20,500.0,139.0,20000,200.0,9.8,1.0,0.15000000000000002,8.0
ec412833-7d5c-4f56-a00a-2c6cefa6468e,20,500.0,203.5,588,200.0,9.8,1.0,0.15000000000000002,12.0
2fd08e81-5113-4a3b-82ef-b9d1c3c76798,20,500.0,132.85,20000,200.0,9.8,1.0,0.15000000000000002,6.0
d492f905-3cd2-4abe-becf-7579e2b79a30,20,500.0,203.2,683,200.0,9.8,1.0,0.15000000000000002,14.0
c4380f51-96e2-4c50-b83c-574cfe88d3b6,20,500.0,163.0,20000,200.0,9.8,1.0,0.15000000000000002,16.0
3a700990-500a-4c7f-bc5e-6f69bdd594f2,20,500.0,144.05,20000,200.0,9.8,1.0,0.2,10.0
efaf0f06-ad69-4cbd-81bb-ccbf089184f0,20,500.0,200.9,850,200.0,9.8,1.0,0.2,8.0
e0e6181a-a319-43ec-adf3-abfa3511a7b4,20,500.0,155.5,20000,200.0,9.8,1.0,0.2,12.0
d4724120-c8c1-4a54-9a6a-d8f7921bbe25,20,500.0,216.05,732,200.0,9.8,1.0,0.2,6.0
c5081540-2f6a-475c-a1c5-e4b370f4c948,20,500.0,145.25,20000,200.0,9.8,1.0,0.2,14.0
f0fb81a5-1f10-4911-a579-78fddcab12a2,20,500.0,209.75,619,200.0,9.8,1.0,0.2,16.0
39865484-eac4-4264-8399-6f2af6aa02b3,20,500.0,126.0,20000,200.0,13.72,1.0,0.1,10.0
b3ebc20f-3b59-4adc-a2bf-629c805dccad,20,500.0,214.05,725,200.0,13.72,1.0,0.1,8.0
582764ed-f42a-4aa3-a977-e528bb79aa41,20,446.0,200.35,624,200.0,13.72,1.0,0.1,12.0
5d6e8bc5-99d3-4610-a7fb-66b85900025b,20,500.0,128.55,20000,200.0,13.72,1.0,0.1,6.0
